timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1712160720400,3333,HTTP Request,200,OK,Task 6 Thread 6-47,text,true,,281419,128,33,36,https://api.publicapis.org/entries,1054,0,751
1712160720995,2782,HTTP Request,200,OK,Task 6 Thread 6-45,text,true,,281419,128,33,36,https://api.publicapis.org/entries,254,0,0
1712160721534,2243,HTTP Request,200,OK,Task 6 Thread 6-38,text,true,,281419,128,33,36,https://api.publicapis.org/entries,264,0,0
1712160721401,2785,HTTP Request,200,OK,Task 6 Thread 6-52,text,true,,281419,128,35,38,https://api.publicapis.org/entries,902,0,479
1712160719734,4822,HTTP Request,200,OK,Task 6 Thread 6-10,text,true,,281419,128,37,40,https://api.publicapis.org/entries,337,0,0
1712160721600,2980,HTTP Request,200,OK,Task 6 Thread 6-53,text,true,,281419,128,37,40,https://api.publicapis.org/entries,1099,0,722
1712160722471,2114,HTTP Request,200,OK,Task 6 Thread 6-42,text,true,,281419,128,37,40,https://api.publicapis.org/entries,349,0,0
1712160721674,2912,HTTP Request,200,OK,Task 6 Thread 6-41,text,true,,281419,128,37,40,https://api.publicapis.org/entries,323,0,0
1712160720599,4201,HTTP Request,200,OK,Task 6 Thread 6-48,text,true,,281419,128,39,41,https://api.publicapis.org/entries,2497,0,2099
1712160723732,1133,HTTP Request,200,OK,Task 6 Thread 6-47,text,true,,281419,128,38,40,https://api.publicapis.org/entries,386,0,0
1712160724185,784,HTTP Request,200,OK,Task 6 Thread 6-52,text,true,,281419,128,38,40,https://api.publicapis.org/entries,263,0,0
1712160722798,2352,HTTP Request,200,OK,Task 6 Thread 6-59,text,true,,281419,128,37,39,https://api.publicapis.org/entries,1335,0,958
1712160718824,6400,HTTP Request,200,OK,Task 6 Thread 6-21,text,true,,281419,128,38,40,https://api.publicapis.org/entries,309,0,0
1712160722999,2260,HTTP Request,200,OK,Task 6 Thread 6-60,text,true,,281419,128,38,40,https://api.publicapis.org/entries,1186,0,857
1712160724799,515,HTTP Request,200,OK,Task 6 Thread 6-48,text,true,,281419,128,38,40,https://api.publicapis.org/entries,234,0,0
1712160723777,1629,HTTP Request,200,OK,Task 6 Thread 6-38,text,true,,281419,128,39,41,https://api.publicapis.org/entries,303,0,0
1712160723000,2450,HTTP Request,200,OK,Task 6 Thread 6-49,text,true,,281419,128,38,39,https://api.publicapis.org/entries,283,0,0
1712160723198,2310,HTTP Request,200,OK,Task 6 Thread 6-61,text,true,,281419,128,38,39,https://api.publicapis.org/entries,1241,0,984
1712160722395,3495,HTTP Request,200,OK,Task 6 Thread 6-44,text,true,,281419,128,37,38,https://api.publicapis.org/entries,347,0,0
1712160723777,2277,HTTP Request,200,OK,Task 6 Thread 6-45,text,true,,281419,128,38,39,https://api.publicapis.org/entries,356,0,0
1712160720450,5769,HTTP Request,200,OK,Task 6 Thread 6-39,text,true,,281419,128,39,40,https://api.publicapis.org/entries,446,0,0
1712160725450,962,HTTP Request,200,OK,Task 6 Thread 6-49,text,true,,281419,128,40,41,https://api.publicapis.org/entries,265,0,0
1712160721999,4592,HTTP Request,200,OK,Task 6 Thread 6-55,text,true,,281419,128,40,41,https://api.publicapis.org/entries,2533,0,2199
1712160725664,960,HTTP Request,200,OK,Task 6 Thread 6-60,text,true,,281419,128,41,42,https://api.publicapis.org/entries,390,0,0
1712160725094,1631,HTTP Request,200,OK,Task 6 Thread 6-53,text,true,,281419,128,40,41,https://api.publicapis.org/entries,365,0,0
1712160725890,896,HTTP Request,200,OK,Task 6 Thread 6-44,text,true,,281419,128,39,40,https://api.publicapis.org/entries,303,0,0
1712160720333,6637,HTTP Request,200,OK,Task 6 Thread 6-29,text,true,,281419,128,39,40,https://api.publicapis.org/entries,256,0,0
1712160720752,6794,HTTP Request,200,OK,Task 6 Thread 6-43,text,true,,281419,128,42,43,https://api.publicapis.org/entries,348,0,0
1712160725947,1610,HTTP Request,200,OK,Task 6 Thread 6-69,text,true,,281419,128,42,43,https://api.publicapis.org/entries,299,0,0
1712160722199,5541,HTTP Request,200,OK,Task 6 Thread 6-56,text,true,,281419,128,43,44,https://api.publicapis.org/entries,2399,0,2151
1712160726591,1170,HTTP Request,200,OK,Task 6 Thread 6-55,text,true,,281419,128,43,44,https://api.publicapis.org/entries,390,0,0
1712160725223,2765,HTTP Request,200,OK,Task 6 Thread 6-21,text,true,,281419,128,44,45,https://api.publicapis.org/entries,314,0,0
1712160725127,3064,HTTP Request,200,OK,Task 6 Thread 6-62,text,true,,281419,128,45,46,https://api.publicapis.org/entries,300,0,0
1712160724621,3601,HTTP Request,200,OK,Task 6 Thread 6-57,text,true,,281419,128,46,47,https://api.publicapis.org/entries,254,0,0
1712160726412,1956,HTTP Request,200,OK,Task 6 Thread 6-49,text,true,,281419,128,45,46,https://api.publicapis.org/entries,249,0,0
1712160724398,4070,HTTP Request,200,OK,Task 6 Thread 6-67,text,true,,281419,128,45,46,https://api.publicapis.org/entries,809,0,510
1712160727557,943,HTTP Request,200,OK,Task 6 Thread 6-69,text,true,,281419,128,45,46,https://api.publicapis.org/entries,281,0,0
1712160722316,6196,HTTP Request,200,OK,Task 6 Thread 6-9,text,true,,281419,128,44,45,https://api.publicapis.org/entries,378,0,0
1712160726054,2528,HTTP Request,200,OK,Task 6 Thread 6-45,text,true,,281419,128,44,45,https://api.publicapis.org/entries,310,0,0
1712160726198,2402,HTTP Request,200,OK,Task 6 Thread 6-76,text,true,,281419,128,44,45,https://api.publicapis.org/entries,1154,0,680
1712160722698,5983,HTTP Request,200,OK,Task 6 Thread 6-36,text,true,,281419,128,44,45,https://api.publicapis.org/entries,416,0,0
1712160727739,954,HTTP Request,200,OK,Task 6 Thread 6-56,text,true,,281419,128,44,45,https://api.publicapis.org/entries,290,0,0
1712160723798,4913,HTTP Request,200,OK,Task 6 Thread 6-64,text,true,,281419,128,44,45,https://api.publicapis.org/entries,861,0,615
1712160726624,2142,HTTP Request,200,OK,Task 6 Thread 6-60,text,true,,281419,128,44,45,https://api.publicapis.org/entries,494,0,0
1712160728600,445,HTTP Request,200,OK,Task 6 Thread 6-76,text,true,,281419,128,44,45,https://api.publicapis.org/entries,327,0,0
1712160727198,2519,HTTP Request,200,OK,Task 6 Thread 6-81,text,true,,281419,128,46,47,https://api.publicapis.org/entries,958,0,638
1712160725508,4246,HTTP Request,200,OK,Task 6 Thread 6-61,text,true,,281419,128,46,47,https://api.publicapis.org/entries,371,0,0
1712160726598,3213,HTTP Request,200,OK,Task 6 Thread 6-78,text,true,,281419,128,47,48,https://api.publicapis.org/entries,1199,0,898
1712160728693,1141,HTTP Request,200,OK,Task 6 Thread 6-56,text,true,,281419,128,47,48,https://api.publicapis.org/entries,399,0,0
1712160725601,4373,HTTP Request,200,OK,Task 6 Thread 6-73,text,true,,281419,128,47,48,https://api.publicapis.org/entries,2357,0,2045
1712160727799,2398,HTTP Request,200,OK,Task 6 Thread 6-84,text,true,,281419,128,48,49,https://api.publicapis.org/entries,1012,0,620
1712160727599,2665,HTTP Request,200,OK,Task 6 Thread 6-83,text,true,,281419,128,48,49,https://api.publicapis.org/entries,933,0,578
1712160721973,8445,HTTP Request,200,OK,Task 6 Thread 6-50,text,true,,281419,128,49,50,https://api.publicapis.org/entries,391,0,0
1712160729718,732,HTTP Request,200,OK,Task 6 Thread 6-81,text,true,,281419,128,49,50,https://api.publicapis.org/entries,284,0,0
1712160728222,2544,HTTP Request,200,OK,Task 6 Thread 6-57,text,true,,281419,128,50,51,https://api.publicapis.org/entries,388,0,0
1712160728598,2517,HTTP Request,200,OK,Task 6 Thread 6-88,text,true,,281419,128,52,53,https://api.publicapis.org/entries,1086,0,687
1712160724555,6782,HTTP Request,200,OK,Task 6 Thread 6-63,text,true,,281419,128,53,54,https://api.publicapis.org/entries,248,0,0
1712160727497,4308,HTTP Request,200,OK,Task 6 Thread 6-75,text,true,,281419,128,56,57,https://api.publicapis.org/entries,290,0,0
1712160729811,2001,HTTP Request,200,OK,Task 6 Thread 6-78,text,true,,281419,128,56,57,https://api.publicapis.org/entries,336,0,0
1712160719486,12333,HTTP Request,200,OK,Task 6 Thread 6-35,text,true,,281419,128,56,57,https://api.publicapis.org/entries,285,0,0
1712160726398,5507,HTTP Request,200,OK,Task 6 Thread 6-77,text,true,,281419,128,55,56,https://api.publicapis.org/entries,1099,0,715
1712160721799,10120,HTTP Request,200,OK,Task 6 Thread 6-54,text,true,,281419,128,55,56,https://api.publicapis.org/entries,2634,0,2370
1712160726359,5667,HTTP Request,200,OK,Task 6 Thread 6-70,text,true,,281419,128,56,57,https://api.publicapis.org/entries,275,0,0
1712160728068,4092,HTTP Request,200,OK,Task 6 Thread 6-80,text,true,,281419,128,56,57,https://api.publicapis.org/entries,273,0,0
1712160727988,4274,HTTP Request,200,OK,Task 6 Thread 6-21,text,true,,281419,128,57,58,https://api.publicapis.org/entries,269,0,0
1712160730666,1966,HTTP Request,200,OK,Task 6 Thread 6-83,text,true,,281419,128,58,59,https://api.publicapis.org/entries,413,0,0
1712160729198,3706,HTTP Request,200,OK,Task 6 Thread 6-91,text,true,,281419,128,59,60,https://api.publicapis.org/entries,1077,0,706
1712160731805,1304,HTTP Request,200,OK,Task 6 Thread 6-75,text,true,,281419,128,59,60,https://api.publicapis.org/entries,484,0,0
1712160730766,2480,HTTP Request,200,OK,Task 6 Thread 6-57,text,true,,281419,128,59,60,https://api.publicapis.org/entries,497,0,0
1712160730069,3222,HTTP Request,200,OK,Task 6 Thread 6-61,text,true,,281419,128,58,59,https://api.publicapis.org/entries,381,0,0
1712160730450,2850,HTTP Request,200,OK,Task 6 Thread 6-81,text,true,,281419,128,57,58,https://api.publicapis.org/entries,877,0,0
1712160725314,8005,HTTP Request,200,OK,Task 6 Thread 6-48,text,true,,281419,128,57,58,https://api.publicapis.org/entries,316,0,0
1712160731805,1713,HTTP Request,200,OK,Task 6 Thread 6-63,text,true,,281419,128,58,59,https://api.publicapis.org/entries,532,0,0
1712160731812,2014,HTTP Request,200,OK,Task 6 Thread 6-94,text,true,,281419,128,58,59,https://api.publicapis.org/entries,506,0,0
1712160729998,3910,HTTP Request,200,OK,Task 6 Thread 6-95,text,true,,281419,128,57,58,https://api.publicapis.org/entries,1300,0,779
1712160731399,2569,HTTP Request,200,OK,Task 6 Thread 6-102,text,true,,281419,128,57,58,https://api.publicapis.org/entries,1233,0,854
1712160730417,3563,HTTP Request,200,OK,Task 6 Thread 6-50,text,true,,281419,128,57,58,https://api.publicapis.org/entries,407,0,0
1712160712400,22024,HTTP Request,200,OK,Task 6 Thread 6-7,text,true,,281419,128,59,60,https://api.publicapis.org/entries,738,0,510
1712160732632,1828,HTTP Request,200,OK,Task 6 Thread 6-83,text,true,,281419,128,59,60,https://api.publicapis.org/entries,313,0,0
1712160730131,4369,HTTP Request,200,OK,Task 6 Thread 6-64,text,true,,281419,128,58,59,https://api.publicapis.org/entries,383,0,0
1712160728468,6289,HTTP Request,200,OK,Task 6 Thread 6-67,text,true,,281419,128,58,59,https://api.publicapis.org/entries,361,0,0
